time,elements,sum,technique
"0.053","10000","1.644725","sumSeq"
"0.446","10000","1.644834","sumOpenmp"
"0.347","100000","1.644725","sumSeq"
"0.067","100000","1.644919","sumOpenmp"
"1.852","1000000","1.644725","sumSeq"
"0.09","1000000","1.644756","sumOpenmp"
"14.484","10000000","1.644725","sumSeq"
"1.646","10000000","1.644728","sumOpenmp"
"148.799","100000000","1.644725","sumSeq"
"8.172","100000000","1.644726","sumOpenmp"
"1660.869","1000000000","1.644725","sumSeq"
"78.691","1000000000","1.644725","sumOpenmp"
